customer_id,age,gender,city,travel_frequency,travel_type,past_claims,loyalty_score,risk_score,segment,frequency_score,value_score,customer_score,risk_score_pred,recommended_plan
CUST_28,50,Female,Hyderabad,3,Business,1,52,77,3,0.1,0.52,0.20600000000000002,68.01816,Basic Travel Protection
CUST_29,69,Male,Delhi,1,Personal,0,61,41,3,0.03333333333333333,0.61,0.39966666666666667,35.50677,Basic Travel Protection
CUST_30,66,Male,Mumbai,0,Seasonal,2,86,87,1,0.0,0.86,0.057999999999999996,81.045456,Seasonal Coverage Plan
CUST_31,68,Male,Pune,3,Seasonal,0,15,35,0,0.1,0.15,0.29500000000000004,34.99171,Premium Frequent Traveler Plan
CUST_32,37,Female,Hyderabad,0,Personal,1,70,42,3,0.0,0.7,0.21,48.204857,Basic Travel Protection
CUST_33,41,Male,Delhi,8,Business,2,22,52,0,0.26666666666666666,0.22,-0.0006666666666666765,49.53943,Premium Frequent Traveler Plan
CUST_34,21,Male,Delhi,2,Personal,2,40,46,3,0.06666666666666667,0.4,-0.04666666666666669,44.97748,Basic Travel Protection
CUST_35,68,Male,Pune,30,Business,0,86,52,1,1.0,0.86,0.958,48.724724,Seasonal Coverage Plan
CUST_36,48,Female,Hyderabad,1,Personal,0,84,7,1,0.03333333333333333,0.84,0.4686666666666667,14.977732,Seasonal Coverage Plan
CUST_37,26,Female,Chennai,2,Personal,2,88,81,1,0.06666666666666667,0.88,0.09733333333333333,67.334595,Seasonal Coverage Plan
CUST_38,21,Female,Hyderabad,10,Business,1,82,89,1,0.3333333333333333,0.82,0.4126666666666666,88.11918,Seasonal Coverage Plan
CUST_39,41,Male,Hyderabad,0,Business,1,33,51,0,0.0,0.33,0.099,54.470795,Premium Frequent Traveler Plan
CUST_40,39,Female,Mumbai,8,Business,1,25,18,0,0.26666666666666666,0.25,0.20833333333333331,21.915787,Premium Frequent Traveler Plan
CUST_41,56,Female,Hyderabad,2,Business,0,47,12,3,0.06666666666666667,0.47,0.3743333333333333,30.034346,Basic Travel Protection
CUST_42,58,Male,Chennai,1,Business,1,86,23,1,0.03333333333333333,0.86,0.27466666666666667,34.445423,Seasonal Coverage Plan
CUST_43,25,Female,Delhi,29,Business,2,92,54,1,0.9666666666666667,0.92,0.5593333333333335,54.683876,Seasonal Coverage Plan
CUST_44,21,Male,Mumbai,8,Business,0,71,55,1,0.26666666666666666,0.71,0.5463333333333333,50.070793,Seasonal Coverage Plan
CUST_45,33,Female,Delhi,1,Personal,1,76,76,1,0.03333333333333333,0.76,0.24466666666666664,57.874012,Seasonal Coverage Plan
CUST_46,21,Female,Hyderabad,2,Business,1,85,35,1,0.06666666666666667,0.85,0.28833333333333333,31.259214,Seasonal Coverage Plan
CUST_47,52,Male,Mumbai,9,Business,1,84,32,1,0.3,0.84,0.402,26.263374,Seasonal Coverage Plan
CUST_48,34,Female,Delhi,11,Personal,0,31,60,0,0.36666666666666664,0.31,0.47633333333333333,56.27861,Premium Frequent Traveler Plan
CUST_49,28,Male,Pune,29,Seasonal,2,30,64,2,0.9666666666666667,0.3,0.37333333333333335,65.00221,Business Flyer Plan
CUST_50,27,Male,Mumbai,30,Business,0,43,78,2,1.0,0.43,0.829,80.9729,Business Flyer Plan
CUST_51,45,Female,Delhi,1,Personal,1,97,40,1,0.03333333333333333,0.97,0.30766666666666664,41.226635,Seasonal Coverage Plan
CUST_52,44,Female,Mumbai,0,Personal,2,90,27,1,0.0,0.9,0.07,25.253027,Seasonal Coverage Plan
CUST_53,39,Male,Delhi,3,Business,1,89,42,1,0.1,0.89,0.317,41.34328,Seasonal Coverage Plan
CUST_54,24,Male,Chennai,2,Seasonal,1,39,41,3,0.06666666666666667,0.39,0.15033333333333332,37.591885,Basic Travel Protection
CUST_55,62,Male,Mumbai,1,Personal,0,31,44,0,0.03333333333333333,0.31,0.30966666666666665,45.051895,Premium Frequent Traveler Plan
CUST_56,36,Female,Chennai,12,Personal,0,33,54,0,0.4,0.33,0.49900000000000005,47.147003,Premium Frequent Traveler Plan
CUST_57,35,Female,Chennai,28,Business,2,42,84,2,0.9333333333333333,0.42,0.39266666666666666,83.55442,Business Flyer Plan
CUST_58,27,Male,Pune,25,Personal,2,49,13,2,0.8333333333333334,0.49,0.36366666666666664,10.978823,Business Flyer Plan
CUST_59,39,Male,Hyderabad,1,Personal,1,56,23,3,0.03333333333333333,0.56,0.18466666666666667,32.710705,Basic Travel Protection
CUST_60,27,Female,Pune,1,Personal,1,81,26,1,0.03333333333333333,0.81,0.25966666666666666,31.743135,Seasonal Coverage Plan
CUST_61,32,Female,Delhi,0,Seasonal,2,41,41,3,0.0,0.41,-0.07700000000000003,40.88326,Basic Travel Protection
CUST_62,35,Male,Chennai,2,Business,2,22,88,0,0.06666666666666667,0.22,-0.10066666666666668,84.56711,Premium Frequent Traveler Plan
CUST_63,36,Male,Chennai,1,Business,2,15,20,0,0.03333333333333333,0.15,-0.13833333333333336,25.800062,Premium Frequent Traveler Plan
CUST_64,36,Male,Mumbai,8,Seasonal,1,42,60,3,0.26666666666666666,0.42,0.2593333333333333,57.43094,Basic Travel Protection
CUST_65,50,Female,Hyderabad,26,Seasonal,2,21,85,0,0.8666666666666667,0.21,0.29633333333333334,76.98025,Premium Frequent Traveler Plan
CUST_66,53,Female,Hyderabad,2,Personal,0,72,69,1,0.06666666666666667,0.72,0.44933333333333336,52.750122,Seasonal Coverage Plan
CUST_67,52,Male,Pune,11,Personal,1,75,36,1,0.36666666666666664,0.75,0.4083333333333333,40.93136,Seasonal Coverage Plan
CUST_68,42,Male,Chennai,25,Business,0,29,70,0,0.8333333333333334,0.29,0.7036666666666667,67.89166,Premium Frequent Traveler Plan
CUST_69,40,Male,Chennai,10,Seasonal,2,85,89,1,0.3333333333333333,0.85,0.22166666666666662,83.26796,Seasonal Coverage Plan
CUST_70,23,Male,Pune,30,Business,0,60,34,2,1.0,0.6,0.8799999999999999,35.46801,Business Flyer Plan
CUST_71,64,Male,Delhi,1,Business,0,26,78,0,0.03333333333333333,0.26,0.2946666666666667,65.83599,Premium Frequent Traveler Plan
CUST_72,30,Female,Pune,1,Seasonal,0,67,62,3,0.03333333333333333,0.67,0.4176666666666667,64.405365,Basic Travel Protection
CUST_73,25,Female,Pune,26,Seasonal,2,72,83,2,0.8666666666666667,0.72,0.4493333333333333,77.73916,Business Flyer Plan
CUST_74,42,Female,Hyderabad,8,Seasonal,2,55,40,3,0.26666666666666666,0.55,0.09833333333333333,44.808964,Basic Travel Protection
CUST_75,30,Male,Pune,26,Personal,0,17,17,0,0.8666666666666667,0.17,0.6843333333333333,24.528397,Premium Frequent Traveler Plan
CUST_76,27,Male,Mumbai,26,Seasonal,0,48,86,2,0.8666666666666667,0.48,0.7773333333333334,76.05118,Business Flyer Plan
CUST_77,60,Female,Chennai,1,Seasonal,0,33,43,0,0.03333333333333333,0.33,0.31566666666666665,36.742863,Premium Frequent Traveler Plan
CUST_78,58,Female,Chennai,0,Seasonal,0,87,13,1,0.0,0.87,0.461,18.589724,Seasonal Coverage Plan
CUST_79,38,Male,Hyderabad,2,Personal,0,17,73,0,0.06666666666666667,0.17,0.2843333333333333,67.78422,Premium Frequent Traveler Plan
CUST_80,59,Female,Mumbai,0,Personal,0,15,68,0,0.0,0.15,0.245,67.47126,Premium Frequent Traveler Plan
CUST_81,22,Male,Hyderabad,9,Seasonal,1,16,45,0,0.3,0.16,0.198,45.898376,Premium Frequent Traveler Plan
CUST_82,36,Female,Mumbai,1,Personal,0,32,16,0,0.03333333333333333,0.32,0.31266666666666665,28.00509,Premium Frequent Traveler Plan
CUST_83,33,Female,Chennai,1,Seasonal,0,50,34,3,0.03333333333333333,0.5,0.3666666666666667,52.0733,Basic Travel Protection
CUST_84,54,Female,Delhi,2,Seasonal,0,48,33,3,0.06666666666666667,0.48,0.3773333333333333,39.209797,Basic Travel Protection
CUST_85,33,Male,Chennai,2,Business,2,79,42,1,0.06666666666666667,0.79,0.0703333333333333,40.27818,Seasonal Coverage Plan
CUST_86,33,Male,Pune,25,Personal,1,64,65,2,0.8333333333333334,0.64,0.6086666666666667,55.32526,Business Flyer Plan
CUST_87,53,Female,Chennai,9,Seasonal,2,48,39,3,0.3,0.48,0.09399999999999997,37.844707,Basic Travel Protection
CUST_88,46,Male,Mumbai,11,Personal,0,52,18,3,0.36666666666666664,0.52,0.5393333333333333,24.074314,Basic Travel Protection
CUST_89,40,Male,Hyderabad,3,Seasonal,2,42,60,3,0.1,0.42,-0.02400000000000002,55.706852,Basic Travel Protection
CUST_90,50,Female,Hyderabad,11,Seasonal,0,17,17,0,0.36666666666666664,0.17,0.43433333333333335,25.666573,Premium Frequent Traveler Plan
CUST_91,21,Male,Hyderabad,1,Seasonal,1,45,7,3,0.03333333333333333,0.45,0.15166666666666667,14.177948,Basic Travel Protection
CUST_92,23,Female,Delhi,2,Seasonal,0,74,44,1,0.06666666666666667,0.74,0.45533333333333337,46.91615,Seasonal Coverage Plan
CUST_93,35,Male,Pune,25,Business,2,87,82,1,0.8333333333333334,0.87,0.47766666666666663,73.08452,Seasonal Coverage Plan
CUST_94,66,Male,Mumbai,1,Seasonal,1,91,65,1,0.03333333333333333,0.91,0.2896666666666667,61.231888,Seasonal Coverage Plan
CUST_95,50,Male,Pune,0,Seasonal,0,35,87,0,0.0,0.35,0.305,74.93235,Premium Frequent Traveler Plan
CUST_96,31,Female,Mumbai,2,Business,0,55,45,3,0.06666666666666667,0.55,0.3983333333333333,47.78702,Basic Travel Protection
CUST_97,44,Male,Hyderabad,1,Business,0,28,57,0,0.03333333333333333,0.28,0.3006666666666667,51.494926,Premium Frequent Traveler Plan
CUST_98,54,Female,Chennai,12,Seasonal,0,13,59,0,0.4,0.13,0.43900000000000006,58.341835,Premium Frequent Traveler Plan
CUST_99,48,Female,Pune,8,Seasonal,2,14,64,0,0.26666666666666666,0.14,-0.02466666666666667,61.479454,Premium Frequent Traveler Plan
CUST_100,55,Female,Mumbai,1,Personal,1,93,74,1,0.03333333333333333,0.93,0.2956666666666667,67.76814,Seasonal Coverage Plan
CUST_101,29,Female,Hyderabad,26,Personal,2,30,41,0,0.8666666666666667,0.3,0.3233333333333333,38.118584,Premium Frequent Traveler Plan
CUST_102,29,Male,Mumbai,28,Seasonal,0,55,38,2,0.9333333333333333,0.55,0.8316666666666668,46.818275,Business Flyer Plan
CUST_103,27,Male,Hyderabad,28,Business,0,27,80,0,0.9333333333333333,0.27,0.7476666666666667,79.81669,Premium Frequent Traveler Plan
CUST_104,27,Female,Hyderabad,1,Seasonal,0,69,85,3,0.03333333333333333,0.69,0.42366666666666664,77.20272,Basic Travel Protection
CUST_105,29,Female,Mumbai,1,Seasonal,1,20,81,0,0.03333333333333333,0.2,0.07666666666666666,41.599476,Premium Frequent Traveler Plan
CUST_106,67,Female,Pune,9,Personal,2,57,74,3,0.3,0.57,0.12099999999999994,74.3149,Basic Travel Protection
CUST_107,39,Female,Hyderabad,2,Personal,0,76,48,1,0.06666666666666667,0.76,0.4613333333333333,37.145756,Seasonal Coverage Plan
CUST_108,21,Male,Mumbai,0,Business,1,94,57,1,0.0,0.94,0.282,56.469852,Seasonal Coverage Plan
CUST_109,49,Male,Chennai,27,Personal,2,11,81,0,0.9,0.11,0.283,80.679695,Premium Frequent Traveler Plan
CUST_110,38,Male,Pune,1,Seasonal,1,54,60,3,0.03333333333333333,0.54,0.17866666666666667,58.502735,Basic Travel Protection
CUST_111,52,Female,Chennai,8,Personal,0,22,54,0,0.26666666666666666,0.22,0.3993333333333333,54.864853,Premium Frequent Traveler Plan
CUST_112,47,Female,Delhi,28,Personal,2,43,79,2,0.9333333333333333,0.43,0.39566666666666667,77.87859,Business Flyer Plan
CUST_113,62,Male,Mumbai,0,Seasonal,0,91,15,1,0.0,0.91,0.47300000000000003,17.645948,Seasonal Coverage Plan
CUST_114,62,Female,Pune,1,Personal,2,47,73,3,0.03333333333333333,0.47,-0.04233333333333336,48.285294,Basic Travel Protection
CUST_115,32,Male,Hyderabad,30,Personal,1,43,70,2,1.0,0.43,0.629,65.53458,Business Flyer Plan
CUST_116,68,Male,Delhi,11,Seasonal,0,57,73,3,0.36666666666666664,0.57,0.5543333333333333,73.58046,Basic Travel Protection
CUST_117,60,Male,Pune,26,Personal,0,28,12,0,0.8666666666666667,0.28,0.7173333333333334,14.420108,Premium Frequent Traveler Plan
CUST_118,31,Female,Delhi,27,Business,1,10,51,0,0.9,0.1,0.48,52.001923,Premium Frequent Traveler Plan
CUST_119,61,Male,Chennai,11,Seasonal,0,59,23,3,0.36666666666666664,0.59,0.5603333333333333,24.235308,Basic Travel Protection
CUST_120,28,Male,Delhi,10,Business,2,31,42,0,0.3333333333333333,0.31,0.059666666666666646,38.63714,Premium Frequent Traveler Plan
CUST_121,48,Female,Pune,2,Seasonal,2,60,70,3,0.06666666666666667,0.6,0.013333333333333308,67.92842,Basic Travel Protection
CUST_122,44,Male,Mumbai,2,Business,1,57,29,3,0.06666666666666667,0.57,0.2043333333333333,39.24064,Basic Travel Protection
CUST_123,25,Female,Pune,11,Seasonal,1,45,78,3,0.36666666666666664,0.45,0.31833333333333336,62.91621,Basic Travel Protection
CUST_124,66,Female,Chennai,1,Business,1,87,10,1,0.03333333333333333,0.87,0.2776666666666667,22.236834,Seasonal Coverage Plan
CUST_125,42,Female,Hyderabad,1,Seasonal,2,38,13,3,0.03333333333333333,0.38,-0.06933333333333336,18.81174,Basic Travel Protection
CUST_126,43,Female,Chennai,2,Personal,1,11,40,0,0.06666666666666667,0.11,0.06633333333333333,48.398697,Premium Frequent Traveler Plan
CUST_127,64,Female,Chennai,9,Personal,2,76,89,1,0.3,0.76,0.178,79.91715,Seasonal Coverage Plan
CUST_128,58,Female,Delhi,1,Seasonal,2,72,54,1,0.03333333333333333,0.72,0.03266666666666665,54.066097,Seasonal Coverage Plan
CUST_129,63,Male,Chennai,27,Business,0,44,25,2,0.9,0.44,0.782,29.64232,Business Flyer Plan
CUST_130,66,Male,Delhi,3,Business,0,71,55,1,0.1,0.71,0.463,58.494633,Seasonal Coverage Plan
CUST_131,58,Female,Delhi,27,Business,2,78,69,1,0.9,0.78,0.48399999999999993,65.5101,Seasonal Coverage Plan
CUST_132,23,Female,Pune,1,Personal,2,47,22,3,0.03333333333333333,0.47,-0.04233333333333336,36.55381,Basic Travel Protection
CUST_133,69,Female,Delhi,0,Personal,2,40,44,3,0.0,0.4,-0.08000000000000002,40.272972,Basic Travel Protection
CUST_134,36,Male,Delhi,2,Seasonal,1,58,46,3,0.06666666666666667,0.58,0.20733333333333331,46.0452,Basic Travel Protection
CUST_135,63,Female,Delhi,1,Seasonal,0,57,26,3,0.03333333333333333,0.57,0.38766666666666666,37.89151,Basic Travel Protection
CUST_136,39,Female,Pune,0,Personal,2,69,68,3,0.0,0.69,0.0069999999999999785,58.6846,Basic Travel Protection
CUST_137,56,Female,Pune,3,Seasonal,1,60,56,3,0.1,0.6,0.22999999999999998,54.083572,Basic Travel Protection
CUST_138,23,Female,Delhi,3,Personal,0,85,5,1,0.1,0.85,0.505,12.69658,Seasonal Coverage Plan
CUST_139,37,Female,Mumbai,1,Business,1,64,78,3,0.03333333333333333,0.64,0.20866666666666667,66.99353,Basic Travel Protection
CUST_140,47,Male,Mumbai,1,Seasonal,1,69,51,3,0.03333333333333333,0.69,0.22366666666666665,65.3199,Basic Travel Protection
CUST_141,54,Female,Delhi,12,Seasonal,0,26,13,0,0.4,0.26,0.47800000000000004,16.139929,Premium Frequent Traveler Plan
CUST_142,51,Female,Pune,30,Business,2,94,34,1,1.0,0.94,0.5820000000000001,33.04538,Seasonal Coverage Plan
CUST_143,18,Female,Pune,8,Personal,0,14,57,0,0.26666666666666666,0.14,0.37533333333333335,57.112633,Premium Frequent Traveler Plan
CUST_144,33,Male,Hyderabad,30,Seasonal,1,38,19,2,1.0,0.38,0.614,18.799526,Business Flyer Plan
CUST_145,33,Female,Pune,10,Business,1,87,17,1,0.3333333333333333,0.87,0.42766666666666664,24.411816,Seasonal Coverage Plan
CUST_146,67,Female,Pune,10,Business,2,37,21,0,0.3333333333333333,0.37,0.07766666666666666,21.642092,Premium Frequent Traveler Plan
CUST_147,55,Female,Pune,3,Seasonal,1,17,80,0,0.1,0.17,0.101,79.88636,Premium Frequent Traveler Plan
CUST_148,42,Female,Chennai,1,Personal,1,31,87,0,0.03333333333333333,0.31,0.10966666666666666,70.76784,Premium Frequent Traveler Plan
CUST_149,64,Male,Chennai,27,Business,1,51,87,2,0.9,0.51,0.603,84.42456,Business Flyer Plan
CUST_150,58,Male,Pune,11,Business,2,93,32,1,0.36666666666666664,0.93,0.26233333333333336,39.650974,Seasonal Coverage Plan
CUST_151,52,Male,Mumbai,1,Seasonal,0,59,70,3,0.03333333333333333,0.59,0.39366666666666666,54.353764,Basic Travel Protection
CUST_152,38,Male,Mumbai,1,Personal,1,86,42,1,0.03333333333333333,0.86,0.27466666666666667,40.942783,Seasonal Coverage Plan
CUST_153,44,Female,Pune,2,Personal,2,47,77,3,0.06666666666666667,0.47,-0.0256666666666667,65.00701,Basic Travel Protection
CUST_154,68,Female,Delhi,1,Seasonal,0,33,23,0,0.03333333333333333,0.33,0.31566666666666665,22.30283,Premium Frequent Traveler Plan
CUST_155,67,Female,Mumbai,28,Personal,0,98,86,1,0.9333333333333333,0.98,0.9606666666666666,85.16842,Seasonal Coverage Plan
CUST_156,26,Male,Mumbai,27,Personal,1,65,63,2,0.9,0.65,0.645,58.12778,Business Flyer Plan
CUST_157,31,Female,Delhi,2,Business,0,65,18,3,0.06666666666666667,0.65,0.42833333333333334,26.725843,Basic Travel Protection
CUST_158,52,Female,Hyderabad,1,Business,1,12,71,0,0.03333333333333333,0.12,0.05266666666666667,71.70313,Premium Frequent Traveler Plan
CUST_159,23,Female,Mumbai,3,Seasonal,0,71,20,1,0.1,0.71,0.463,29.430164,Seasonal Coverage Plan
CUST_160,23,Male,Pune,0,Personal,1,91,18,1,0.0,0.91,0.273,20.937576,Seasonal Coverage Plan
CUST_161,24,Male,Pune,0,Business,2,82,10,1,0.0,0.82,0.04599999999999996,18.405203,Seasonal Coverage Plan
CUST_162,44,Female,Hyderabad,26,Business,2,69,24,2,0.8666666666666667,0.69,0.4403333333333333,32.056866,Business Flyer Plan
CUST_163,29,Female,Chennai,30,Business,0,50,18,2,1.0,0.5,0.8500000000000001,18.883821,Business Flyer Plan
CUST_164,23,Female,Chennai,1,Business,1,17,69,0,0.03333333333333333,0.17,0.06766666666666667,67.85522,Premium Frequent Traveler Plan
CUST_165,49,Female,Hyderabad,1,Business,0,84,38,1,0.03333333333333333,0.84,0.4686666666666667,30.791767,Seasonal Coverage Plan
CUST_166,23,Female,Hyderabad,8,Seasonal,2,68,23,3,0.26666666666666666,0.68,0.13733333333333336,26.152903,Basic Travel Protection
CUST_167,47,Female,Mumbai,0,Business,2,93,64,1,0.0,0.93,0.07900000000000001,56.496334,Seasonal Coverage Plan
CUST_168,19,Female,Chennai,0,Personal,1,75,74,1,0.0,0.75,0.22499999999999998,73.41274,Seasonal Coverage Plan
CUST_169,67,Female,Pune,12,Personal,2,99,29,1,0.4,0.99,0.297,29.845644,Seasonal Coverage Plan
CUST_170,47,Male,Delhi,2,Personal,1,67,36,3,0.06666666666666667,0.67,0.23433333333333334,33.730377,Basic Travel Protection
CUST_171,18,Female,Mumbai,1,Seasonal,0,79,48,1,0.03333333333333333,0.79,0.45366666666666666,51.400894,Seasonal Coverage Plan
CUST_172,64,Male,Pune,1,Personal,1,99,40,1,0.03333333333333333,0.99,0.31366666666666665,42.689102,Seasonal Coverage Plan
CUST_173,24,Female,Delhi,25,Seasonal,1,87,65,1,0.8333333333333334,0.87,0.6776666666666666,68.27294,Seasonal Coverage Plan
CUST_174,61,Male,Chennai,1,Business,2,17,69,0,0.03333333333333333,0.17,-0.13233333333333336,67.64934,Premium Frequent Traveler Plan
CUST_175,33,Male,Hyderabad,3,Seasonal,0,91,9,1,0.1,0.91,0.523,15.266315,Seasonal Coverage Plan
CUST_176,33,Female,Mumbai,1,Business,2,43,69,3,0.03333333333333333,0.43,-0.054333333333333345,63.563667,Basic Travel Protection
CUST_177,32,Female,Hyderabad,0,Seasonal,0,72,57,1,0.0,0.72,0.41600000000000004,54.5687,Seasonal Coverage Plan
CUST_178,42,Female,Hyderabad,1,Business,2,39,40,3,0.03333333333333333,0.39,-0.06633333333333336,33.295742,Basic Travel Protection
CUST_179,41,Female,Pune,8,Personal,1,79,52,1,0.26666666666666666,0.79,0.3703333333333333,50.290882,Seasonal Coverage Plan
CUST_180,63,Female,Hyderabad,1,Business,0,49,68,3,0.03333333333333333,0.49,0.3636666666666667,63.5376,Basic Travel Protection
CUST_181,36,Female,Mumbai,2,Personal,2,26,73,0,0.06666666666666667,0.26,-0.08866666666666667,62.216087,Premium Frequent Traveler Plan
CUST_182,47,Male,Hyderabad,8,Seasonal,2,90,23,1,0.26666666666666666,0.9,0.2033333333333333,24.217495,Seasonal Coverage Plan
CUST_183,38,Male,Pune,0,Personal,0,21,44,0,0.0,0.21,0.263,48.97544,Premium Frequent Traveler Plan
CUST_184,20,Female,Pune,12,Seasonal,2,76,65,1,0.4,0.76,0.22799999999999998,63.900467,Seasonal Coverage Plan
CUST_185,51,Female,Pune,1,Personal,1,11,76,0,0.03333333333333333,0.11,0.049666666666666665,74.14392,Premium Frequent Traveler Plan
CUST_186,49,Male,Chennai,1,Personal,2,93,32,1,0.03333333333333333,0.93,0.09566666666666668,39.70338,Seasonal Coverage Plan
CUST_187,47,Female,Hyderabad,2,Personal,0,41,63,3,0.06666666666666667,0.41,0.35633333333333334,60.58624,Basic Travel Protection
CUST_188,29,Female,Chennai,1,Personal,2,18,27,0,0.03333333333333333,0.18,-0.12933333333333336,35.49527,Premium Frequent Traveler Plan
CUST_189,57,Male,Mumbai,25,Personal,2,78,49,1,0.8333333333333334,0.78,0.4506666666666667,48.964054,Seasonal Coverage Plan
CUST_190,54,Male,Chennai,2,Personal,0,26,31,0,0.06666666666666667,0.26,0.31133333333333335,43.014763,Premium Frequent Traveler Plan
CUST_191,51,Female,Delhi,28,Personal,1,97,59,1,0.9333333333333333,0.97,0.7576666666666667,57.304718,Seasonal Coverage Plan
CUST_192,31,Female,Chennai,1,Seasonal,0,85,23,1,0.03333333333333333,0.85,0.4716666666666667,32.567738,Seasonal Coverage Plan
CUST_193,26,Male,Chennai,8,Business,0,44,41,3,0.26666666666666666,0.44,0.4653333333333333,45.038837,Basic Travel Protection
CUST_194,52,Male,Pune,0,Personal,0,73,34,1,0.0,0.73,0.41900000000000004,37.163452,Seasonal Coverage Plan
CUST_195,50,Female,Hyderabad,2,Business,2,76,53,1,0.06666666666666667,0.76,0.061333333333333295,49.230427,Seasonal Coverage Plan
CUST_196,64,Male,Mumbai,11,Business,2,99,28,1,0.36666666666666664,0.99,0.28033333333333327,27.188911,Seasonal Coverage Plan
CUST_197,32,Male,Chennai,12,Business,2,53,31,3,0.4,0.53,0.15899999999999997,35.936623,Basic Travel Protection
CUST_198,40,Male,Chennai,1,Seasonal,2,50,81,3,0.03333333333333333,0.5,-0.033333333333333354,72.95196,Basic Travel Protection
CUST_199,18,Female,Delhi,8,Seasonal,1,46,10,3,0.26666666666666666,0.46,0.2713333333333333,10.978953,Basic Travel Protection
CUST_200,65,Female,Chennai,30,Seasonal,0,65,69,2,1.0,0.65,0.895,67.66777,Business Flyer Plan
CUST_201,52,Male,Hyderabad,2,Seasonal,2,33,43,0,0.06666666666666667,0.33,-0.06766666666666668,41.584568,Premium Frequent Traveler Plan
CUST_202,19,Male,Pune,9,Personal,0,28,44,0,0.3,0.28,0.434,44.205437,Premium Frequent Traveler Plan
CUST_203,26,Female,Delhi,26,Personal,1,27,57,0,0.8666666666666667,0.27,0.5143333333333333,57.616467,Premium Frequent Traveler Plan
